title,media_condition,sleeve_condition,price,buy_url,seller_rating,seller_url
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),174.0,https://www.discogs.com/sell/item/1988222435,96.9,https://www.discogs.com/seller/roundish/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),146.99,https://www.discogs.com/sell/item/1668324850,100.0,https://www.discogs.com/seller/Tofu-records/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),217.0,https://www.discogs.com/sell/item/1402846300,100.0,https://www.discogs.com/seller/OUR.RECORD/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),134.99,https://www.discogs.com/sell/item/1881748861,100.0,https://www.discogs.com/seller/SmashingIha/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),53.8,https://www.discogs.com/sell/item/1755492607,100.0,https://www.discogs.com/seller/vinyldeliveryservice/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),46.99,https://www.discogs.com/sell/item/2045916905,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),50.0,https://www.discogs.com/sell/item/2020001366,100.0,https://www.discogs.com/seller/obijapansamurai/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),54.0,https://www.discogs.com/sell/item/1981211960,96.9,https://www.discogs.com/seller/roundish/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),34.99,https://www.discogs.com/sell/item/1931411459,99.4,https://www.discogs.com/seller/facerecords/profile
"Tats Yamashita* - On The Street Corner 2 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),68.0,https://www.discogs.com/sell/item/1838024422,100.0,https://www.discogs.com/seller/mint.vinyl/profile
"Tatsuro Yamashita - On The Street Corner 2 (LP, Album, Ltd)",Very Good Plus (VG+),Near Mint (NM or M-),70.0,https://www.discogs.com/sell/item/1669159336,99.7,https://www.discogs.com/seller/Redhouse-osaka/profile
"Tatsuro Yamashita - On The Street Corner 2 (LP, Album, Ltd)",Near Mint (NM or M-),Near Mint (NM or M-),99.0,https://www.discogs.com/sell/item/1061673829,97.3,https://www.discogs.com/seller/slowrockingbro_sg/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),146.07,https://www.discogs.com/sell/item/2053405508,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - 僕の中の少年 (2020 Remaster) (2xLP, Album, Ltd, RE, RM, 180)",Mint (M),Mint (M),111.0,https://www.discogs.com/sell/item/1813325494,100.0,https://www.discogs.com/seller/100vinyl/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Very Good Plus (VG+),Good Plus (G+),132.9,https://www.discogs.com/sell/item/1146479865,99.6,https://www.discogs.com/seller/kittertea/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),162.9,https://www.discogs.com/sell/item/1154570002,99.6,https://www.discogs.com/seller/kittertea/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),153.5,https://www.discogs.com/sell/item/2034345953,100.0,https://www.discogs.com/seller/vinyldeliveryservice/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),158.4,https://www.discogs.com/sell/item/2004877136,100.0,https://www.discogs.com/seller/vinyldeliveryservice/profile
